angle_deg,distance_mm,quality
2.249218750000000000e+02,4.525000000000000000e+01,5.600000000000000000e+01
2.257343750000000000e+02,4.575000000000000000e+01,5.600000000000000000e+01
2.265468750000000000e+02,4.525000000000000000e+01,5.600000000000000000e+01
2.282812500000000000e+02,4.650000000000000000e+01,5.700000000000000000e+01
2.291250000000000000e+02,4.625000000000000000e+01,5.600000000000000000e+01
2.299531250000000000e+02,4.675000000000000000e+01,5.700000000000000000e+01
2.307968750000000000e+02,4.775000000000000000e+01,5.700000000000000000e+01
2.315156250000000000e+02,4.850000000000000000e+01,5.600000000000000000e+01
2.323281250000000000e+02,4.875000000000000000e+01,5.600000000000000000e+01
2.331250000000000000e+02,4.925000000000000000e+01,5.600000000000000000e+01
2.339375000000000000e+02,5.025000000000000000e+01,5.600000000000000000e+01
2.348125000000000000e+02,5.075000000000000000e+01,5.600000000000000000e+01
2.356406250000000000e+02,5.125000000000000000e+01,5.600000000000000000e+01
2.364531250000000000e+02,5.125000000000000000e+01,5.600000000000000000e+01
2.372812500000000000e+02,5.200000000000000000e+01,5.500000000000000000e+01
2.389218750000000000e+02,5.000000000000000000e+01,5.300000000000000000e+01
2.405625000000000000e+02,4.875000000000000000e+01,5.100000000000000000e+01
2.413437500000000000e+02,4.850000000000000000e+01,5.000000000000000000e+01
2.429687500000000000e+02,5.025000000000000000e+01,4.800000000000000000e+01
2.437812500000000000e+02,5.100000000000000000e+01,4.600000000000000000e+01
2.446406250000000000e+02,5.125000000000000000e+01,4.300000000000000000e+01
2.496093750000000000e+02,1.345000000000000000e+02,4.400000000000000000e+01
2.504375000000000000e+02,1.380000000000000000e+02,4.600000000000000000e+01
2.512343750000000000e+02,1.402500000000000000e+02,4.700000000000000000e+01
2.520625000000000000e+02,1.412500000000000000e+02,4.800000000000000000e+01
2.528750000000000000e+02,1.427500000000000000e+02,4.800000000000000000e+01
2.537031250000000000e+02,1.442500000000000000e+02,4.900000000000000000e+01
2.545156250000000000e+02,1.440000000000000000e+02,5.000000000000000000e+01
2.553437500000000000e+02,1.445000000000000000e+02,5.000000000000000000e+01
2.561562500000000000e+02,1.457500000000000000e+02,5.100000000000000000e+01
2.569843750000000000e+02,1.465000000000000000e+02,5.100000000000000000e+01
2.577968750000000000e+02,1.462500000000000000e+02,5.100000000000000000e+01
2.586250000000000000e+02,1.455000000000000000e+02,5.100000000000000000e+01
2.594375000000000000e+02,1.450000000000000000e+02,5.100000000000000000e+01
2.602656250000000000e+02,1.442500000000000000e+02,5.100000000000000000e+01
2.610468750000000000e+02,1.440000000000000000e+02,5.100000000000000000e+01
2.618593750000000000e+02,1.442500000000000000e+02,5.200000000000000000e+01
2.626718750000000000e+02,1.442500000000000000e+02,5.100000000000000000e+01
2.634843750000000000e+02,1.445000000000000000e+02,5.100000000000000000e+01
2.645156250000000000e+02,1.440000000000000000e+02,5.100000000000000000e+01
2.653906250000000000e+02,1.440000000000000000e+02,5.100000000000000000e+01
2.662500000000000000e+02,1.442500000000000000e+02,5.100000000000000000e+01
2.671250000000000000e+02,1.442500000000000000e+02,5.100000000000000000e+01
2.678281250000000000e+02,1.445000000000000000e+02,5.100000000000000000e+01
2.686562500000000000e+02,1.442500000000000000e+02,5.100000000000000000e+01
2.694843750000000000e+02,1.442500000000000000e+02,5.100000000000000000e+01
2.703125000000000000e+02,1.440000000000000000e+02,5.200000000000000000e+01
2.711250000000000000e+02,1.440000000000000000e+02,5.200000000000000000e+01
2.719531250000000000e+02,1.445000000000000000e+02,5.200000000000000000e+01
2.727656250000000000e+02,1.450000000000000000e+02,5.100000000000000000e+01
2.735937500000000000e+02,1.460000000000000000e+02,5.100000000000000000e+01
2.744375000000000000e+02,1.467500000000000000e+02,5.100000000000000000e+01
2.752656250000000000e+02,1.465000000000000000e+02,5.100000000000000000e+01
2.760937500000000000e+02,1.467500000000000000e+02,5.100000000000000000e+01
2.769218750000000000e+02,1.467500000000000000e+02,5.000000000000000000e+01
2.777656250000000000e+02,1.470000000000000000e+02,5.100000000000000000e+01
2.785937500000000000e+02,1.472500000000000000e+02,5.000000000000000000e+01
2.794218750000000000e+02,1.477500000000000000e+02,5.100000000000000000e+01
2.802500000000000000e+02,1.492500000000000000e+02,5.100000000000000000e+01
2.810468750000000000e+02,1.495000000000000000e+02,5.100000000000000000e+01
2.818750000000000000e+02,1.492500000000000000e+02,5.000000000000000000e+01
2.826875000000000000e+02,1.492500000000000000e+02,5.000000000000000000e+01
2.835156250000000000e+02,1.495000000000000000e+02,5.000000000000000000e+01
2.844687500000000000e+02,1.490000000000000000e+02,4.900000000000000000e+01
2.853281250000000000e+02,1.502500000000000000e+02,5.000000000000000000e+01
2.861718750000000000e+02,1.512500000000000000e+02,4.900000000000000000e+01
2.870312500000000000e+02,1.512500000000000000e+02,4.900000000000000000e+01
2.877968750000000000e+02,1.530000000000000000e+02,4.800000000000000000e+01
2.886250000000000000e+02,1.542500000000000000e+02,4.900000000000000000e+01
2.894531250000000000e+02,1.555000000000000000e+02,4.900000000000000000e+01
2.902812500000000000e+02,1.575000000000000000e+02,4.800000000000000000e+01
